date,mean,min,max
20111001,63.4,60.4,66.4
20111002,58,55,61
20111003,53.3,50.3,56.3
20111004,55.7,52.7,58.7
20111005,64.2,61.2,67.2
20111006,58.8,55.8,61.8
20111007,57.9,54.9,60.9
20111008,61.8,58.8,64.8
20111009,69.3,66.3,72.3
20111010,71.2,68.2,74.2
20111011,68.7,65.7,71.7
20111012,61.8,58.8,64.8
20111013,63,60,66
20111014,66.9,63.9,69.9
20111015,61.7,58.7,64.7
20111016,61.8,58.8,64.8
20111017,62.8,59.8,65.8
20111018,60.8,57.8,63.8
20111019,62.1,59.1,65.1
20111020,65.1,62.1,68.1
20111021,55.6,52.6,58.6
20111022,54.4,51.4,57.4
20111023,54.4,51.4,57.4
20111024,54.8,51.8,57.8
20111025,57.9,54.9,60.9
20111026,54.6,51.6,57.6
20111027,54.4,51.4,57.4
20111028,42.5,39.5,45.5
20111029,40.9,37.9,43.9
20111030,38.6,35.6,41.6
20111031,44.2,41.2,47.2
20111101,49.6,46.6,52.6
20111102,47.2,44.2,50.2
20111103,50.1,47.1,53.1
20111104,50.1,47.1,53.1
20111105,43.5,40.5,46.5
20111106,43.8,40.8,46.8
20111107,48.9,45.9,51.9
20111108,55.5,52.5,58.5
20111109,53.7,50.7,56.7
20111110,57.7,54.7,60.7
20111111,48.5,45.5,51.5
20111112,46.8,43.8,49.8
20111113,51.1,48.1,54.1
20111114,56.8,53.8,59.8
20111115,59.7,56.7,62.7
20111116,56.5,53.5,59.5
20111117,49.6,46.6,52.6
20111118,41.5,38.5,44.5
20111119,44.3,41.3,47.3
20111120,54,51,57
20111121,54.1,51.1,57.1
20111122,49.4,46.4,52.4
20111123,50,47,53
20111124,44,41,47
20111125,50.3,47.3,53.3
20111126,52.1,49.1,55.1
20111127,49.6,46.6,52.6
20111128,57.2,54.2,60.2
20111129,59.1,56.1,62.1
20111130,50.6,47.6,53.6
20111201,44.3,41.3,47.3
20111202,43.9,40.9,46.9
20111203,42.1,39.1,45.1
20111204,43.9,40.9,46.9
20111205,50.2,47.2,53.2
20111206,54.2,51.2,57.2
20111207,54.6,51.6,57.6
20111208,43.4,40.4,46.4
20111209,42.2,39.2,45.2
20111210,45,42,48
20111211,33.8,30.8,36.8
20111212,36.8,33.8,39.8
20111213,38.6,35.6,41.6
20111214,41.9,38.9,44.9
20111215,49.6,46.6,52.6
20111216,50.2,47.2,53.2
20111217,40.6,37.6,43.6
20111218,29.1,26.1,32.1
20111219,33.7,30.7,36.7
20111220,45.8,42.8,48.8
20111221,47.4,44.4,50.4
20111222,54.4,51.4,57.4
20111223,47.8,44.8,50.8
20111224,34.9,31.9,37.9
20111225,35.9,32.9,38.9
20111226,43.6,40.6,46.6
20111227,42.9,39.9,45.9
20111228,46.2,43.2,49.2
20111229,30.8,27.8,33.8
20111230,40.8,37.8,43.8
20111231,49.8,46.8,52.8
20120101,46.3,43.3,49.3
20120102,43.2,40.2,46.2
20120103,30.3,27.3,33.3
20120104,19.2,16.2,22.2
20120105,32.1,29.1,35.1
20120106,41.2,38.2,44.2
20120107,47,44,50
20120108,46,43,49
20120109,34.7,31.7,37.7
20120110,39.4,36.4,42.4
20120111,40.4,37.4,43.4
20120112,45.4,42.4,48.4
20120113,40.7,37.7,43.7
20120114,30.4,27.4,33.4
20120115,23.9,20.9,26.9
20120116,22.6,19.6,25.6
20120117,39.8,36.8,42.8
20120118,43.2,40.2,46.2
20120119,26.3,23.3,29.3
20120120,32.8,29.8,35.8
20120121,27.4,24.4,30.4
20120122,25,22,28
20120123,39.4,36.4,42.4
20120124,48.7,45.7,51.7
20120125,43,40,46
20120126,37.1,34.1,40.1
20120127,48.2,45.2,51.2
20120128,43.7,40.7,46.7
20120129,40.1,37.1,43.1
20120130,38,35,41
20120131,43.5,40.5,46.5
20120201,50.4,47.4,53.4
20120202,45.8,42.8,48.8
20120203,37.5,34.5,40.5
20120204,40.8,37.8,43.8
20120205,36.5,33.5,39.5
20120206,39.1,36.1,42.1
20120207,43.2,40.2,46.2
20120208,36.5,33.5,39.5
20120209,36.5,33.5,39.5
20120210,38.3,35.3,41.3
20120211,36.9,33.9,39.9
20120212,29.7,26.7,32.7
20120213,33.1,30.1,36.1
20120214,39.6,36.6,42.6
20120215,42.3,39.3,45.3
20120216,39.7,36.7,42.7
20120217,46,43,49
20120218,41.2,38.2,44.2
20120219,39.8,36.8,42.8
20120220,38.1,35.1,41.1
20120221,37.1,34.1,40.1
20120222,45.5,42.5,48.5
20120223,50.6,47.6,53.6
20120224,42.7,39.7,45.7
20120225,42.6,39.6,45.6
20120226,36.9,33.9,39.9
20120227,40.9,37.9,43.9
20120228,45.9,42.9,48.9
20120229,40.7,37.7,43.7
20120301,41.3,38.3,44.3
20120302,36.8,33.8,39.8
20120303,47.6,44.6,50.6
20120304,44.2,41.2,47.2
20120305,38.5,35.5,41.5
20120306,32.9,29.9,35.9
20120307,43.3,40.3,46.3
20120308,51.2,48.2,54.2
20120309,47.8,44.8,50.8
20120310,37.2,34.2,40.2
20120311,42.9,39.9,45.9
20120312,48.8,45.8,51.8
20120313,52.6,49.6,55.6
20120314,60.5,57.5,63.5
20120315,47.2,44.2,50.2
20120316,44.7,41.7,47.7
20120317,48.2,45.2,51.2
20120318,48.2,45.2,51.2
20120319,53.1,50.1,56.1
20120320,57.8,54.8,60.8
20120321,57.5,54.5,60.5
20120322,57.3,54.3,60.3
20120323,61.7,58.7,64.7
20120324,55.8,52.8,58.8
20120325,48.4,45.4,51.4
20120326,49.8,46.8,52.8
20120327,39.6,36.6,42.6
20120328,49.7,46.7,52.7
20120329,56.8,53.8,59.8
20120330,46.5,43.5,49.5
20120331,42.2,39.2,45.2
20120401,45.3,42.3,48.3
20120402,48.1,45.1,51.1
20120403,51.2,48.2,54.2
20120404,61,58,64
20120405,50.7,47.7,53.7
20120406,48,45,51
20120407,51.1,48.1,54.1
20120408,55.7,52.7,58.7
20120409,58.3,55.3,61.3
20120410,55,52,58
20120411,49,46,52
20120412,51.7,48.7,54.7
20120413,53.1,50.1,56.1
20120414,55.2,52.2,58.2
20120415,62.3,59.3,65.3
20120416,62.9,59.9,65.9
20120417,69.3,66.3,72.3
20120418,59,56,62
20120419,54.1,51.1,57.1
20120420,56.5,53.5,59.5
20120421,58.2,55.2,61.2
20120422,52.4,49.4,55.4
20120423,51.6,48.6,54.6
20120424,49.3,46.3,52.3
20120425,52.5,49.5,55.5
20120426,50.5,47.5,53.5
20120427,51.9,48.9,54.9
20120428,47.4,44.4,50.4
20120429,54.1,51.1,57.1
20120430,51.9,48.9,54.9
20120501,57.4,54.4,60.4
20120502,53.7,50.7,56.7
20120503,53.1,50.1,56.1
20120504,57.2,54.2,60.2
20120505,57,54,60
20120506,56.6,53.6,59.6
20120507,54.6,51.6,57.6
20120508,57.9,54.9,60.9
20120509,59.2,56.2,62.2
20120510,61.1,58.1,64.1
20120511,59.7,56.7,62.7
20120512,64.1,61.1,67.1
20120513,65.3,62.3,68.3
20120514,64.2,61.2,67.2
20120515,62,59,65
20120516,63.8,60.8,66.8
20120517,64.5,61.5,67.5
20120518,61,58,64
20120519,62.6,59.6,65.6
20120520,66.2,63.2,69.2
20120521,62.7,59.7,65.7
20120522,63.7,60.7,66.7
20120523,66.4,63.4,69.4
20120524,64.5,61.5,67.5
20120525,65.4,62.4,68.4
20120526,69.4,66.4,72.4
20120527,71.9,68.9,74.9
20120528,74.4,71.4,77.4
20120529,75.9,72.9,78.9
20120530,72.9,69.9,75.9
20120531,72.5,69.5,75.5
20120601,67.2,64.2,70.2
20120602,68.3,65.3,71.3
20120603,67.7,64.7,70.7
20120604,61.9,58.9,64.9
20120605,58.3,55.3,61.3
20120606,61.7,58.7,64.7
20120607,66.7,63.7,69.7
20120608,68.7,65.7,71.7
20120609,72.2,69.2,75.2
20120610,72.6,69.6,75.6
20120611,69.2,66.2,72.2
20120612,66.9,63.9,69.9
20120613,66.7,63.7,69.7
20120614,67.7,64.7,70.7
20120615,68.5,65.5,71.5
20120616,67.5,64.5,70.5
20120617,64.2,61.2,67.2
20120618,61.7,58.7,64.7
20120619,66.4,63.4,69.4
20120620,77.9,74.9,80.9
20120621,88.3,85.3,91.3
20120622,82.2,79.2,85.2
20120623,77,74,80
20120624,75.4,72.4,78.4
20120625,70.9,67.9,73.9
20120626,65.9,62.9,68.9
20120627,73.5,70.5,76.5
20120628,77.4,74.4,80.4
20120629,79.6,76.6,82.6
20120630,84.2,81.2,87.2
20120701,81.8,78.8,84.8
20120702,82.5,79.5,85.5
20120703,80.2,77.2,83.2
20120704,77.8,74.8,80.8
20120705,86.1,83.1,89.1
20120706,79.9,76.9,82.9
20120707,83.5,80.5,86.5
20120708,81.5,78.5,84.5
20120709,77.8,74.8,80.8
20120710,76.1,73.1,79.1
20120711,76.3,73.3,79.3
20120712,75.8,72.8,78.8
20120713,77.2,74.2,80.2
20120714,79.3,76.3,82.3
20120715,78.9,75.9,81.9
20120716,79.6,76.6,82.6
20120717,83.3,80.3,86.3
20120718,84.3,81.3,87.3
20120719,75.1,72.1,78.1
20120720,68.4,65.4,71.4
20120721,68.4,65.4,71.4
20120722,72.2,69.2,75.2
20120723,75.6,72.6,78.6
20120724,82.6,79.6,85.6
20120725,78.4,75.4,81.4
20120726,77,74,80
20120727,79.4,76.4,82.4
20120728,77.4,74.4,80.4
20120729,72.5,69.5,75.5
20120730,72.9,69.9,75.9
20120731,73.6,70.6,76.6
20120801,75,72,78
20120802,77.7,74.7,80.7
20120803,79.7,76.7,82.7
20120804,79.6,76.6,82.6
20120805,81.5,78.5,84.5
20120806,80,77,83
20120807,75.7,72.7,78.7
20120808,77.8,74.8,80.8
20120809,78.6,75.6,81.6
20120810,77.8,74.8,80.8
20120811,78.5,75.5,81.5
20120812,78.8,75.8,81.8
20120813,78.6,75.6,81.6
20120814,76.8,73.8,79.8
20120815,76.7,73.7,79.7
20120816,75.9,72.9,78.9
20120817,77.6,74.6,80.6
20120818,72.6,69.6,75.6
20120819,70.4,67.4,73.4
20120820,71.8,68.8,74.8
20120821,73.6,70.6,76.6
20120822,74.7,71.7,77.7
20120823,74.6,71.6,77.6
20120824,76,73,79
20120825,76.2,73.2,79.2
20120826,73.4,70.4,76.4
20120827,74.6,71.6,77.6
